Designator,Mid X,Mid Y,Layer,Rotation
REF**,72.345413,-61.700003,T,0.0
REF**,72.23072,-60.700004,T,0.0
REF**,75.469282,-60.700004,T,0.0
REF**,75.354589,-61.700004,T,0.0
REF**,75.469282,-62.700004,T,0.0
REF**,119.930725,-62.700004,T,0.0
REF**,120.045418,-61.700003,T,0.0
REF**,119.930725,-60.700004,T,0.0
REF**,27.769277,-72.400009,T,0.0
REF**,27.654584,-73.400009,T,0.0
REF**,27.769277,-74.400009,T,0.0
REF**,72.23072,-74.400009,T,0.0
REF**,72.345413,-73.400008,T,0.0
REF**,72.23072,-72.400009,T,0.0
REF**,75.469282,-72.400009,T,0.0
REF**,75.354589,-73.400009,T,0.0
REF**,75.469282,-74.400009,T,0.0
REF**,119.930725,-74.400009,T,0.0
REF**,120.045418,-73.400008,T,0.0
REF**,119.930725,-72.400009,T,0.0
REF**,27.769277,-84.100014,T,0.0
REF**,27.654584,-85.100014,T,0.0
REF**,27.769277,-86.100014,T,0.0
REF**,72.23072,-86.100014,T,0.0
REF**,72.345413,-85.100013,T,0.0
REF**,72.23072,-84.100014,T,0.0
REF**,75.469282,-84.100014,T,0.0
REF**,75.354589,-85.100014,T,0.0
REF**,75.469282,-86.100014,T,0.0
REF**,119.930725,-86.100014,T,0.0
REF**,120.045418,-85.100013,T,0.0
REF**,119.930725,-84.100014,T,0.0
REF**,27.769277,-95.800019,T,0.0
REF**,27.654584,-96.800019,T,0.0
REF**,27.769277,-97.800019,T,0.0
REF**,72.23072,-97.800019,T,0.0
REF**,72.345413,-96.800018,T,0.0
REF**,72.23072,-95.800019,T,0.0
REF**,75.469282,-95.800019,T,0.0
REF**,75.354589,-96.800019,T,0.0
REF**,75.469282,-97.800019,T,0.0
REF**,119.930725,-97.800019,T,0.0
REF**,120.045418,-96.800018,T,0.0
REF**,119.930725,-95.800019,T,0.0
REF**,27.769277,-107.500024,T,0.0
REF**,27.654584,-108.500024,T,0.0
REF**,27.769277,-109.500024,T,0.0
REF**,72.23072,-109.500024,T,0.0
REF**,72.345413,-108.500023,T,0.0
REF**,72.23072,-107.500024,T,0.0
REF**,75.469282,-107.500024,T,0.0
REF**,75.354589,-108.500024,T,0.0
REF**,75.469282,-109.500024,T,0.0
REF**,119.930725,-109.500024,T,0.0
REF**,120.045418,-108.500023,T,0.0
REF**,119.930725,-107.500024,T,0.0
REF**,27.769277,-119.200029,T,0.0
REF**,27.654584,-120.200029,T,0.0
REF**,27.769277,-121.200029,T,0.0
REF**,72.23072,-121.200029,T,0.0
REF**,72.345413,-120.200028,T,0.0
REF**,72.23072,-119.200029,T,0.0
REF**,75.469282,-119.200029,T,0.0
REF**,75.354589,-120.200029,T,0.0
REF**,75.469282,-121.200029,T,0.0
REF**,119.930725,-121.200029,T,0.0
REF**,120.045418,-120.200028,T,0.0
REF**,119.930725,-119.200029,T,0.0
REF**,63.499999,-54.350999,T,0.0
REF**,64.249999,-54.350999,T,0.0
REF**,64.999999,-54.350999,T,0.0
REF**,65.749999,-54.350999,T,0.0
REF**,66.499999,-54.350999,T,0.0
REF**,66.499999,-45.648999,T,0.0
REF**,65.749999,-45.648999,T,0.0
REF**,64.999999,-45.648999,T,0.0
REF**,64.249999,-45.648999,T,0.0
REF**,63.499999,-45.648999,T,0.0
REF**,33.499999,-54.350999,T,0.0
REF**,34.249999,-54.350999,T,0.0
REF**,34.999999,-54.350999,T,0.0
REF**,35.749999,-54.350999,T,0.0
REF**,36.499999,-54.350999,T,0.0
REF**,36.499999,-45.648999,T,0.0
REF**,35.749999,-45.648999,T,0.0
REF**,34.999999,-45.648999,T,0.0
REF**,34.249999,-45.648999,T,0.0
REF**,33.499999,-45.648999,T,0.0
REF**,111.200004,-54.350999,T,0.0
REF**,111.950004,-54.350999,T,0.0
REF**,112.700004,-54.350999,T,0.0
REF**,113.450004,-54.350999,T,0.0
REF**,114.200004,-54.350999,T,0.0
REF**,114.200004,-45.648999,T,0.0
REF**,113.450004,-45.648999,T,0.0
REF**,112.700004,-45.648999,T,0.0
REF**,111.950004,-45.648999,T,0.0
REF**,111.200004,-45.648999,T,0.0
REF**,81.200004,-54.350999,T,0.0
REF**,81.950004,-54.350999,T,0.0
REF**,82.700004,-54.350999,T,0.0
REF**,83.450004,-54.350999,T,0.0
REF**,84.200004,-54.350999,T,0.0
REF**,84.200004,-45.648999,T,0.0
REF**,83.450004,-45.648999,T,0.0
REF**,82.700004,-45.648999,T,0.0
REF**,81.950004,-45.648999,T,0.0
REF**,81.200004,-45.648999,T,0.0
REF**,63.499999,-66.051,T,0.0
REF**,64.249999,-66.051,T,0.0
REF**,64.999999,-66.051,T,0.0
REF**,65.749999,-66.051,T,0.0
REF**,66.499999,-66.051,T,0.0
REF**,66.499999,-57.349003,T,0.0
REF**,65.749999,-57.349003,T,0.0
REF**,64.999999,-57.349003,T,0.0
REF**,64.249999,-57.349003,T,0.0
REF**,63.499999,-57.349003,T,0.0
REF**,33.499999,-66.051003,T,0.0
REF**,34.249999,-66.051003,T,0.0
REF**,34.999999,-66.051003,T,0.0
REF**,35.749999,-66.051003,T,0.0
REF**,36.499999,-66.051003,T,0.0
REF**,36.499999,-57.349,T,0.0
REF**,35.749999,-57.349,T,0.0
REF**,34.999999,-57.349,T,0.0
REF**,34.249999,-57.349,T,0.0
REF**,33.499999,-57.349,T,0.0
REF**,111.200004,-66.051,T,0.0
REF**,111.950004,-66.051,T,0.0
REF**,112.700004,-66.051,T,0.0
REF**,113.450004,-66.051,T,0.0
REF**,114.200004,-66.051,T,0.0
REF**,114.200004,-57.349003,T,0.0
REF**,113.450004,-57.349003,T,0.0
REF**,112.700004,-57.349003,T,0.0
REF**,111.950004,-57.349003,T,0.0
REF**,111.200004,-57.349003,T,0.0
REF**,81.200004,-66.051003,T,0.0
REF**,81.950004,-66.051003,T,0.0
REF**,82.700004,-66.051003,T,0.0
REF**,83.450004,-66.051003,T,0.0
REF**,84.200004,-66.051003,T,0.0
REF**,84.200004,-57.349,T,0.0
REF**,83.450004,-57.349,T,0.0
REF**,82.700004,-57.349,T,0.0
REF**,81.950004,-57.349,T,0.0
REF**,81.200004,-57.349,T,0.0
REF**,63.499999,-77.751001,T,0.0
REF**,64.249999,-77.751,T,0.0
REF**,64.999999,-77.751,T,0.0
REF**,65.749999,-77.751,T,0.0
REF**,66.499999,-77.751,T,0.0
REF**,66.499999,-69.049008,T,0.0
REF**,65.749999,-69.049008,T,0.0
REF**,64.999999,-69.049008,T,0.0
REF**,64.249999,-69.049008,T,0.0
REF**,63.499999,-69.049007,T,0.0
REF**,33.499999,-77.751008,T,0.0
REF**,34.249999,-77.751008,T,0.0
REF**,34.999999,-77.751008,T,0.0
REF**,35.749999,-77.751008,T,0.0
REF**,36.499999,-77.751007,T,0.0
REF**,36.499999,-69.049001,T,0.0
REF**,35.749999,-69.049,T,0.0
REF**,34.999999,-69.049,T,0.0
REF**,34.249999,-69.049,T,0.0
REF**,33.499999,-69.049,T,0.0
REF**,111.200004,-77.751001,T,0.0
REF**,111.950004,-77.751,T,0.0
REF**,112.700004,-77.751,T,0.0
REF**,113.450004,-77.751,T,0.0
REF**,114.200004,-77.751,T,0.0
